person_id,id,name,role,character
509010,tm14491,Jackie Curtis,Actor,Self
271137,ts223454,Jason Young,Actor,N/A
105220,tm94651,Zeenat Aman,Actor,Sheetal Sahni
124506,ts258415,Roni Ezra,Director,Director
70582,tm156453,Paul Mooney,Actor,Himself
1486008,tm843444,Nhu Le,Actor,Anh
223450,tm76557,Younes Shalaby,Actor,Atef
191724,tm69997,Jennifer Lee Pryor,Actor,Herself (uncredited)
14445,tm190788,Barton Heyman,Actor,Dr. Samuel Klein
20032,tm185072,Wilfrid Hyde-White,Actor,Colonel Hugh Pickering
105226,tm94651,Helen,Actor,Sylvia
4096,tm116324,Spike Jonze,Actor,Himself
27040,tm14873,Debralee Scott,Actor,Ann Mary Deacon (uncredited)
7551,tm96649,James Remar,Actor,Sam Starr
16493,tm44204,Michael Trubshawe,Actor,Weaver
22348,tm119281,Mabel Cavitt,Actor,Bonnie's mother (uncredited)
14440,tm190788,Linda Blair,Actor,Regan Teresa MacNeil
530033,tm135083,Hind Rostom,Actor,Hanuma
74994,tm16479,John Brascia,Actor,John
68738,tm246330,Karunas,Actor,N/A
83028,tm14873,Ruth Kobart,Actor,Bus Driver
511229,tm97793,Mohsen Mohy Eldin,Actor,Mohssen
520600,tm27298,Hamdy Gheith,Actor,King Richard
738908,tm81461,Damián Barrera,Actor,N/A
86242,ts8570,Jerad Harris,Actor,Riff
103550,tm96649,Shelby Leverington,Actor,Annie Ralston
19846,tm14873,John Garber,Actor,Tunnel Hoodlum (uncredited)
434348,tm71909,K.N. Singh,Actor,Balbadra SIngh
225934,tm90896,Shukri Sarhan,Actor,Tolba
22346,tm119281,Estelle Parsons,Actor,Blanche
1031264,tm190788,Bernard Eismann,Actor,Minor Role (uncredited)
29179,tm44204,Bryan Forbes,Actor,Cohn
2020257,tm494288,Chris Kamau,Actor,N/A
26774,tm69778,Mikio Terashima,Actor,German Delegate (voice)
1578929,tm919920,Ivan Ayr,Director,Director
14989,tm98978,Brooke Shields,Actor,Emmeline
57838,tm16479,Percy Helton,Actor,Train Conductor (uncredited)
11472,ts22164,Graham Chapman,Actor,Various
1463021,tm127384,William Palin,Actor,Sir Not-Appearing-in-this-Film (uncredited)
144248,tm324278,Tiësto,Actor,N/A
372931,tm1041549,Jide Kosoko,Actor,N/A
589811,tm127384,Sandy Johnson,Actor,Knight of Ni / Villager at Witch Burning / Musician at Wedding / Monk / Knight in Battle
1662310,tm84618,Nat Grant,Actor,Stick-aup Man
15955,tm96649,Peter Jason,Actor,The Pinkertons
273840,tm941382,Ryuichi Yagi,Director,Director
4700,tm96649,Randy Quaid,Actor,Clell Miller
181917,tm471878,Carla Bolito,Actor,N/A
29181,tm44204,Albert Lieven,Actor,Commandant
434351,tm75975,Parveen Choudhary,Actor,Ratna
529467,tm156453,Len Chandler,Actor,Himself
1780983,tm96649,Prentiss Rowe,Actor,Sheriff Rowe
520251,tm190788,Gina Petrushka,Actor,Willi
177827,ts87465,Chris Holt,Director,Director
36157,tm185072,Frank Baker,Actor,Gentleman (uncredited)
49762,tm190788,Roy Cooper,Actor,Jesuit Dean
1917373,ts273461,Jin Le,Actor,N/A
86234,ts8570,Tory Green,Actor,Sarah
62769,tm67378,Jorge Martínez De Hoyos,Actor,Padilla
16387,tm14491,George Plimpton,Actor,Self
499165,tm96649,Amy Stryker,Actor,Beth
