id,title,type,release_year,age_certification,runtime,seasons,imdb_score,imdb_votes,country,genre
tm257629,Followfriday,Movie,2016,Others,90,0,2.7,382,US,Thriller
tm286268,Rucker50,Movie,2016,Others,56,0,5.2,117,US,Documentation
tm320206,Realityhigh,Movie,2017,Others,99,0,5.2,6283,US,"Comedy, Drama, Romance"
tm371188,Friendbutmarried,Movie,2018,Others,102,0,6.9,695,ID,"Romance, Comedy, Drama"
tm820190,Alive,Movie,2020,Others,98,0,6.3,37199,KR,"Thriller, Horror, Action, Drama"
tm817087,Annefrank. Parallel Stories,Movie,2019,Others,92,0,6.5,1503,IT,"Drama, Documentation, History"
tm846354,Friendbutmarried 2,Movie,2020,Others,104,0,6.9,300,ID,"Drama, Comedy, Romance"
tm84618,Taxi Driver,Movie,1976,R,113,0,8.3,795222,US,"Crime, Drama"
tm127384,Monty Python And The Holy Grail,Movie,1975,PG,91,0,8.2,530877,GB,"Comedy, Fantasy"
tm70993,Life Of Brian,Movie,1979,R,94,0,8,392419,GB,Comedy
ts21715,Thomas & Friends,Show,1984,TV-Y,10,24,6.5,4948,GB,"Family, Comedy, Music, Action, Animation, Fantasy, Drama"
tm145608,Awakenings,Movie,1990,PG-13,120,0,7.8,137549,US,"Drama, European"
tm147829,Unspeakable Acts,Movie,1990,Others,100,0,6,448,US,Drama
tm57554,Saving Private Ryan,Movie,1998,R,169,0,8.6,1346020,US,"Drama, War"
tm192431,The Devil'S Own,Movie,1997,R,107,0,6.2,64625,US,"Thriller, Drama, Action, Crime, European"
tm56033,Croupier,Movie,1998,R,94,0,7,21382,"FR, IE, GB, DE","Thriller, European, Crime, Drama"
tm190486,Teenage Mutant Ninja Turtles Iii,Movie,1993,PG,96,0,4.7,33128,"HK, US","Fantasy, Scifi, Action, Comedy, Family"
tm189773,Maya Memsaab,Movie,1993,PG-13,126,0,5.4,2177,IN,"Romance, Drama, Thriller"
tm117873,Hum Aapke Hain Koun..!,Movie,1994,Others,206,0,7.5,20986,IN,"Romance, Comedy, Drama"
ts21511,My Little Pony: Friendship Is Magic,Show,2010,TV-Y7,22,9,7.6,20708,"CA, US","Scifi, Animation, Drama, Fantasy, Music, Comedy, Family"
tm116324,Jackass: The Movie,Movie,2002,R,88,0,6.6,92305,US,"Action, Comedy, Documentation"
tm28905,Beerfest,Movie,2006,R,110,0,6.2,67748,US,Comedy
ts30313,Offspring,Show,2010,Others,44,7,8.3,4764,AU,"Drama, Comedy"
ts687,The 4400,Show,2004,TV-14,44,4,7.3,44971,US,"Scifi, Thriller, Drama"
ts24028,Still Game,Show,2002,TV-14,29,9,8.9,7539,GB,"Comedy, European"
tm142564,3 Idiots,Movie,2009,PG-13,170,0,8.4,385782,IN,"Comedy, Drama"
ts23808,Monty Python: Almost The Truth (The Lawyer'S Cut),Show,2009,TV-MA,55,1,8.1,1740,US,"Comedy, Documentation"
tm65142,One Piece: The Desert Princess And The Pirates: Adventure In Alabasta,Movie,2007,PG-13,90,0,6.9,1611,JP,"Drama, Comedy, Animation, Action"
tm22342,Waist Deep,Movie,2006,R,97,0,5.8,9957,US,"Thriller, Drama, Crime, Action"
tm24576,Naruto: Guardians Of The Crescent Moon Kingdom,Movie,2006,PG-13,95,0,6.4,3975,JP,"Action, Animation"
ts14102,Bo On The Go!,Show,2007,Others,22,4,4.1,118,CA,Animation
tm144345,Kal Ho Naa Ho,Movie,2003,PG,186,0,7.9,68028,IN,"Drama, Comedy, Romance"
tm70222,Sivaji: The Boss,Movie,2007,PG-13,189,0,7.5,19556,IN,"Drama, Crime, Thriller, Action"
tm92977,Ishqiya,Movie,2010,R,115,0,7.3,10415,IN,"Comedy, Thriller, Romance, Drama"
ts29199,Monty Python'S Personal Best,Show,2006,TV-PG,56,1,7.9,437,"US, GB",Comedy
tm103133,Karthik Calling Karthik,Movie,2010,PG,135,0,7.1,11944,IN,"Thriller, Drama, Romance"
tm155761,Ajab Prem Ki Ghazab Kahani,Movie,2009,PG,150,0,6.3,14380,IN,"Action, Comedy, Romance"
tm93004,Yuva,Movie,2004,PG,161,0,7.3,8878,IN,"Action, Drama, Thriller"
ts12444,The Fierce Wife,Show,2010,TV-MA,59,1,6.8,90,TW,Drama
tm91323,I Hate Luv Storys,Movie,2010,PG,129,0,5.6,7994,IN,"Drama, Romance, Comedy"
tm85689,Krishna Cottage,Movie,2004,Others,124,0,5.1,1153,IN,"Thriller, Drama, Horror"
tm368679,Madness In The Desert,Movie,2004,Others,141,0,8.4,373,IN,Documentation
tm36636,C Kkompany,Movie,2008,Others,130,0,5.5,1115,IN,"Comedy, Drama, Thriller"
ts4924,At Dolphin Bay,Show,2003,TV-14,59,1,6.9,39,TW,"Drama, Comedy, Romance"
tm28024,A Very Special Love,Movie,2008,PG,105,0,6.5,388,PH,"Romance, Drama, Comedy"
